longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity
-117.11,32.78,16.0,2220.0,512.0,930.0,527.0,3.6528,161470.0,NEAR OCEAN
-122.11,38.01,39.0,1313.0,306.0,575.0,231.0,3.1711,135007.0,NEAR BAY
-118.17,33.91,42.0,856.0,167.0,748.0,195.0,3.8,159412.0,<1H OCEAN
-118.16,34.71,27.0,6007.0,998.0,2680.0,882.0,4.1719,142848.98,INLAND
-122.26,37.87,52.0,1087.0,371.0,3337.0,350.0,1.4012,145593.01,NEAR BAY
-117.26,32.98,12.0,3900.0,977.0,1690.0,892.0,4.125,256086.06,NEAR OCEAN
-117.93,34.04,23.0,6361.0,1168.0,4580.0,1109.0,4.9342,238459.01,<1H OCEAN
-122.19,37.77,52.0,2329.0,445.0,1144.0,417.0,3.5114,232571.0,NEAR BAY
-122.06,37.63,12.0,6711.0,1374.0,3388.0,1289.0,3.8625,200071.01,NEAR BAY
-118.3,33.73,40.0,2582.0,606.0,1304.0,588.0,3.5694,286859.0,NEAR OCEAN
-118.28,34.05,44.0,968.0,384.0,1805.0,375.0,1.4801,138273.0,<1H OCEAN
-117.77,33.69,15.0,500.0,113.0,261.0,116.0,5.0631,229233.01,<1H OCEAN
-117.14,32.76,35.0,1785.0,493.0,965.0,506.0,2.0792,141281.0,NEAR OCEAN
-118.61,34.31,4.0,1949.0,458.0,868.0,398.0,5.0151,216874.0,<1H OCEAN
-118.29,34.01,42.0,814.0,223.0,511.0,188.0,2.3942,145575.0,<1H OCEAN
-122.36,38.03,32.0,2159.0,393.0,981.0,369.0,4.3173,205704.0,NEAR BAY
-122.61,38.09,18.0,6205.0,821.0,2311.0,756.0,6.9081,359069.12,<1H OCEAN
-117.22,32.75,34.0,6001.0,1111.0,2654.0,1072.0,4.5878,268976.18,NEAR OCEAN
-117.88,33.84,25.0,1781.0,349.0,918.0,378.0,3.9286,218915.0,<1H OCEAN
-117.34,33.71,10.0,2591.0,486.0,1255.0,425.0,3.1513,193469.01,<1H OCEAN
-122.09,37.65,35.0,1184.0,200.0,572.0,194.0,4.7143,228248.0,NEAR BAY
-121.93,37.25,21.0,1354.0,289.0,639.0,273.0,4.5333,254693.0,<1H OCEAN
-121.96,37.74,2.0,200.0,20.0,25.0,9.0,15.0001,404110.55,<1H OCEAN
-117.77,34.08,27.0,5929.0,932.0,2817.0,828.0,6.0434,238959.0,INLAND
-118.09,34.15,49.0,1467.0,259.0,688.0,260.0,4.3452,223360.93,INLAND
-119.71,36.88,17.0,2236.0,315.0,992.0,312.0,6.9405,222901.0,INLAND
-124.21,41.77,17.0,3461.0,722.0,1947.0,647.0,2.5795,120748.0,NEAR OCEAN
-123.72,41.09,19.0,1970.0,431.0,1166.0,363.0,1.8208,94989.0,<1H OCEAN
-118.14,34.2,39.0,2569.0,426.0,1282.0,432.0,5.0953,277676.0,INLAND
-119.05,36.09,9.0,3297.0,568.0,1749.0,568.0,4.0217,108940.0,INLAND
-118.09,34.15,52.0,670.0,141.0,268.0,110.0,3.5568,263829.0,INLAND
-118.36,34.16,45.0,1755.0,335.0,822.0,342.0,5.1423,284672.01,<1H OCEAN
-118.57,34.17,31.0,1950.0,383.0,870.0,357.0,3.1875,218591.0,<1H OCEAN
-120.86,37.76,32.0,964.0,198.0,623.0,201.0,3.0917,123511.0,INLAND
-121.19,39.55,17.0,1483.0,284.0,481.0,211.0,1.4896,79488.0,INLAND
-118.31,34.06,14.0,1559.0,646.0,1639.0,567.0,1.9949,227803.06,<1H OCEAN
-117.06,33.09,11.0,7483.0,1276.0,3516.0,1261.0,4.0484,179088.0,<1H OCEAN
-122.25,37.8,42.0,4120.0,1065.0,1715.0,1015.0,2.9345,217180.02,NEAR BAY
-116.17,33.66,22.0,639.0,203.0,664.0,153.0,1.9306,66023.0,INLAND
-117.04,34.0,25.0,3750.0,781.0,1594.0,785.0,2.4167,104830.0,INLAND
-119.34,36.62,26.0,1922.0,339.0,1148.0,332.0,2.6058,80359.0,INLAND
-119.76,36.74,52.0,2137.0,448.0,1194.0,444.0,1.3029,53000.0,INLAND
-120.43,34.7,26.0,2353.0,389.0,1420.0,389.0,3.87,191546.0,NEAR OCEAN
-122.49,37.98,34.0,1256.0,178.0,460.0,174.0,6.4271,311223.08,NEAR BAY
-118.24,33.97,37.0,1212.0,314.0,1403.0,279.0,2.5536,127689.0,<1H OCEAN
-121.63,40.92,23.0,1922.0,411.0,872.0,350.0,2.2337,78577.0,INLAND
-122.36,37.93,17.0,1258.0,254.0,885.0,229.0,3.05,146885.0,NEAR BAY
-118.33,33.98,38.0,3063.0,796.0,2153.0,721.0,1.8472,169846.01,<1H OCEAN
-118.17,34.06,36.0,871.0,201.0,2862.0,181.0,2.1845,140025.0,<1H OCEAN
-117.35,33.95,28.0,1650.0,210.0,557.0,211.0,7.6632,360011.23,INLAND
-122.07,37.95,39.0,2199.0,388.0,1025.0,385.0,4.5893,230371.02,NEAR BAY
-121.79,37.33,18.0,3611.0,614.0,2381.0,642.0,5.6345,255096.01,<1H OCEAN
-121.83,36.61,27.0,2248.0,466.0,1644.0,453.0,3.2545,183616.0,<1H OCEAN
-122.07,37.86,23.0,1025.0,205.0,263.0,191.0,3.12,166594.0,NEAR BAY
-122.26,37.52,34.0,483.0,131.0,291.0,157.0,3.0833,201663.0,NEAR OCEAN
-118.19,34.04,45.0,963.0,234.0,1194.0,239.0,2.1806,137910.0,<1H OCEAN
-119.81,34.44,14.0,961.0,305.0,662.0,286.0,3.2115,206556.0,NEAR OCEAN
-118.09,33.96,36.0,1116.0,229.0,719.0,233.0,3.425,167251.0,<1H OCEAN
-122.08,37.64,30.0,5267.0,1253.0,4065.0,1113.0,3.3479,199486.0,NEAR BAY
-121.58,39.83,16.0,4591.0,904.0,1904.0,812.0,2.2419,92048.0,INLAND
-122.79,39.09,20.0,1798.0,395.0,685.0,331.0,1.625,74551.0,INLAND
-118.2,33.88,40.0,1699.0,346.0,1188.0,329.0,4.2083,192315.01,<1H OCEAN
-117.95,33.82,35.0,1068.0,190.0,514.0,174.0,4.0735,191816.02,<1H OCEAN
-122.12,37.29,11.0,436.0,70.0,212.0,75.0,8.6196,373285.27,<1H OCEAN
-117.11,32.68,36.0,26.0,14.0,58.0,23.0,1.9107,157654.0,NEAR OCEAN
-118.32,34.16,49.0,1074.0,170.0,403.0,208.0,6.2547,336927.03,<1H OCEAN
-117.97,34.08,30.0,2227.0,474.0,1961.0,481.0,3.3261,159257.0,INLAND
-117.96,34.07,35.0,2819.0,529.0,1508.0,485.0,4.6118,207933.02,<1H OCEAN
-117.29,33.08,18.0,3225.0,515.0,1463.0,476.0,5.7787,316526.11,NEAR OCEAN
-122.08,37.24,21.0,427.0,63.0,182.0,70.0,11.3283,466889.83,<1H OCEAN
-119.73,36.62,35.0,2080.0,365.0,1026.0,333.0,3.5781,85771.0,INLAND
-118.55,34.03,35.0,9075.0,1858.0,3646.0,1724.0,6.0307,455791.65,<1H OCEAN
-122.43,37.79,52.0,3219.0,969.0,1152.0,830.0,4.2042,469243.27,NEAR BAY
-121.3,38.13,23.0,2864.0,504.0,1298.0,499.0,3.2303,115551.0,INLAND
-121.67,39.14,22.0,2264.0,390.0,1056.0,403.0,3.6111,124533.0,INLAND
-117.24,32.71,32.0,4164.0,701.0,1277.0,607.0,6.6661,401128.21,NEAR OCEAN
-118.0,33.88,18.0,2628.0,720.0,2276.0,649.0,2.735,174916.0,<1H OCEAN
-119.48,35.17,36.0,116.0,20.0,39.0,18.0,3.125,124250.0,INLAND
-118.11,34.16,52.0,2489.0,437.0,1101.0,438.0,4.2065,208771.93,INLAND
-118.08,33.89,33.0,2131.0,435.0,2045.0,426.0,4.0,180894.0,<1H OCEAN
-118.32,34.0,50.0,3250.0,693.0,2300.0,675.0,1.95,153545.0,<1H OCEAN
-117.11,32.75,18.0,1943.0,587.0,1329.0,522.0,1.7696,122869.0,NEAR OCEAN
-121.82,39.76,23.0,6010.0,1116.0,2710.0,1149.0,3.0068,110078.0,INLAND
-122.28,37.89,52.0,2070.0,329.0,722.0,306.0,5.4171,332557.04,NEAR BAY
-118.17,33.78,23.0,3768.0,1261.0,3940.0,1098.0,1.9647,149946.0,NEAR OCEAN
-119.27,34.27,52.0,1577.0,343.0,836.0,335.0,3.5893,238214.01,NEAR OCEAN
-118.87,35.37,14.0,2458.0,433.0,1352.0,411.0,3.5441,100679.0,INLAND
-121.28,38.61,23.0,2547.0,504.0,1235.0,469.0,2.4722,107909.0,INLAND
-118.07,34.1,34.0,2253.0,522.0,1262.0,511.0,3.4375,213765.0,<1H OCEAN
-118.19,34.22,32.0,10626.0,1504.0,4353.0,1482.0,9.8413,489462.54,<1H OCEAN
-122.38,40.67,10.0,2281.0,444.0,1274.0,438.0,2.212,87774.0,INLAND
-122.26,37.85,52.0,2202.0,434.0,910.0,402.0,3.2031,230138.0,NEAR BAY
-121.49,38.49,26.0,4629.0,832.0,2902.0,816.0,2.735,116576.0,INLAND
-122.05,37.93,15.0,7803.0,1603.0,2957.0,1546.0,4.45,229014.0,NEAR BAY
-122.06,37.7,37.0,1893.0,310.0,821.0,315.0,4.6005,232443.0,NEAR BAY
-122.02,37.36,21.0,2471.0,677.0,1486.0,689.0,3.9038,256134.0,<1H OCEAN
-121.92,37.34,35.0,357.0,120.0,377.0,99.0,3.0139,186173.0,<1H OCEAN
-122.04,37.65,10.0,8299.0,1326.0,3827.0,1288.0,6.2579,309352.02,NEAR BAY
-116.37,33.72,17.0,8626.0,1859.0,3497.0,1337.0,3.312,151319.0,INLAND
-123.41,41.6,23.0,1654.0,369.0,669.0,273.0,1.965,72612.0,INLAND
-121.62,36.69,11.0,4712.0,1098.0,5982.0,1105.0,2.5986,137386.0,<1H OCEAN
-120.1,39.17,33.0,1849.0,384.0,218.0,92.0,1.7083,111160.0,INLAND
-117.34,34.12,26.0,1008.0,164.0,568.0,196.0,3.3516,111236.0,INLAND
-119.26,35.87,24.0,1590.0,390.0,1686.0,372.0,1.6469,51934.0,INLAND
-117.86,33.99,10.0,17820.0,2812.0,8686.0,2666.0,6.3875,308033.03,<1H OCEAN
-118.34,34.04,37.0,1466.0,529.0,1835.0,500.0,1.7014,162971.0,<1H OCEAN
-122.35,37.94,47.0,1275.0,275.0,844.0,273.0,2.8967,135508.0,NEAR BAY
-118.17,33.83,46.0,1362.0,214.0,531.0,222.0,4.3125,255990.0,NEAR OCEAN
-118.21,33.81,40.0,1815.0,428.0,1807.0,413.0,3.0882,167963.0,NEAR OCEAN
-120.58,39.27,15.0,4126.0,903.0,723.0,266.0,3.0147,133769.0,INLAND
-118.47,34.24,19.0,2405.0,661.0,1855.0,621.0,2.3111,188164.02,<1H OCEAN
-122.29,37.82,2.0,158.0,43.0,94.0,57.0,2.5625,151310.0,NEAR BAY
-122.25,37.49,44.0,4420.0,743.0,1790.0,735.0,6.142,390798.06,NEAR OCEAN
-116.22,33.74,26.0,4120.0,858.0,2918.0,815.0,3.3107,127158.0,INLAND
-122.48,37.76,52.0,2684.0,574.0,1395.0,549.0,3.9097,344025.01,NEAR BAY
-119.16,34.23,26.0,5444.0,1293.0,3700.0,1158.0,2.7556,185240.0,NEAR OCEAN
-122.59,38.04,25.0,3412.0,455.0,1238.0,406.0,8.3646,400385.21,NEAR BAY
-121.98,37.27,29.0,2658.0,484.0,1318.0,498.0,5.3561,294861.02,<1H OCEAN
-118.41,34.23,35.0,1026.0,195.0,753.0,185.0,4.5909,208383.0,<1H OCEAN
-117.24,32.74,45.0,1718.0,293.0,757.0,329.0,4.05,329039.06,NEAR OCEAN
-118.3,33.87,31.0,1398.0,261.0,823.0,263.0,5.0641,229990.0,<1H OCEAN
-122.23,37.76,52.0,3037.0,516.0,1242.0,518.0,5.2128,349276.09,NEAR BAY
-117.84,33.8,34.0,2004.0,331.0,843.0,328.0,3.59,218671.01,<1H OCEAN
-118.9,34.17,14.0,4719.0,734.0,1880.0,731.0,5.3558,343161.09,<1H OCEAN
-117.13,32.92,16.0,2173.0,399.0,1460.0,393.0,4.2614,176600.0,<1H OCEAN
-118.35,33.94,38.0,1794.0,508.0,2188.0,454.0,2.6654,165062.0,<1H OCEAN
-122.4,37.72,40.0,1948.0,413.0,1434.0,396.0,3.0313,214524.01,NEAR BAY
-118.29,33.74,29.0,1503.0,411.0,1368.0,390.0,2.1473,155841.02,NEAR OCEAN
-118.35,34.32,52.0,102.0,29.0,54.0,32.0,1.9875,233122.01,<1H OCEAN
-121.08,39.21,17.0,3033.0,590.0,1319.0,583.0,2.4811,127366.0,INLAND
-118.03,33.94,30.0,2572.0,521.0,1564.0,501.0,3.4861,183793.0,<1H OCEAN
-117.18,32.74,39.0,3132.0,738.0,1200.0,690.0,2.5288,205543.02,NEAR OCEAN
-121.43,38.56,50.0,1533.0,288.0,532.0,257.0,2.5417,94943.0,INLAND
-117.06,32.68,36.0,3815.0,796.0,2945.0,728.0,2.0959,129694.0,NEAR OCEAN
-122.11,37.71,36.0,4569.0,824.0,1950.0,819.0,4.65,243576.01,NEAR BAY
-116.97,33.74,20.0,3674.0,792.0,1498.0,758.0,2.2161,93731.0,INLAND
-117.81,33.73,19.0,4022.0,975.0,2334.0,954.0,3.0305,175011.0,<1H OCEAN
-119.19,34.19,35.0,2599.0,552.0,2726.0,543.0,3.2212,225348.01,NEAR OCEAN
-116.5,33.95,10.0,7249.0,1882.0,4274.0,1621.0,1.6983,102831.0,INLAND
-122.35,38.3,18.0,3735.0,557.0,1504.0,521.0,5.6304,290176.03,NEAR BAY
-122.23,37.76,52.0,1705.0,246.0,658.0,253.0,5.75,327755.0,NEAR BAY
-121.99,38.36,33.0,146.0,31.0,75.0,31.0,3.5179,126107.0,INLAND
-121.55,38.55,10.0,6227.0,1164.0,2909.0,1077.0,4.106,153043.0,INLAND
-119.44,36.6,5.0,2353.0,608.0,2505.0,573.0,2.2863,90807.0,INLAND
-122.55,38.1,26.0,5188.0,892.0,2341.0,906.0,5.0029,269371.01,NEAR BAY
-117.01,32.72,12.0,2914.0,734.0,2104.0,703.0,2.3068,131517.03,NEAR OCEAN
-118.49,34.03,31.0,3155.0,808.0,1208.0,745.0,3.6769,353007.18,<1H OCEAN
-118.11,33.82,37.0,1987.0,347.0,1095.0,357.0,4.3203,218766.0,<1H OCEAN
-122.05,37.95,27.0,3513.0,791.0,1875.0,694.0,3.1838,157144.0,NEAR BAY
-116.76,33.46,6.0,1251.0,268.0,544.0,216.0,3.0694,187835.0,INLAND
-117.43,33.81,13.0,4770.0,718.0,1985.0,662.0,4.2273,145067.0,INLAND
-118.38,34.05,52.0,2053.0,480.0,900.0,417.0,3.0707,332248.2,<1H OCEAN
-121.32,38.74,14.0,1449.0,228.0,670.0,232.0,4.3897,138222.0,INLAND
-116.96,32.8,25.0,3421.0,803.0,1681.0,742.0,3.369,158777.0,<1H OCEAN
-117.17,33.66,2.0,7401.0,1187.0,2826.0,839.0,4.1386,194686.0,<1H OCEAN
-122.47,37.7,45.0,3290.0,693.0,2466.0,666.0,3.6588,287633.01,NEAR OCEAN
-121.07,39.04,9.0,2374.0,372.0,884.0,333.0,4.5042,164191.0,INLAND
-117.64,34.07,43.0,1970.0,379.0,1036.0,391.0,3.2083,126807.0,INLAND
-117.36,33.98,46.0,1680.0,453.0,1570.0,435.0,2.0436,74186.0,INLAND
-119.17,34.29,18.0,3932.0,724.0,1896.0,680.0,5.2953,286744.04,NEAR OCEAN
-119.06,36.15,20.0,1282.0,273.0,852.0,247.0,1.6354,59243.0,INLAND
-122.23,37.46,26.0,4670.0,1039.0,2103.0,933.0,4.4167,343419.0,NEAR OCEAN
-118.1,34.09,44.0,2352.0,484.0,1517.0,463.0,4.2833,255049.02,<1H OCEAN
-117.14,32.81,34.0,1748.0,294.0,800.0,294.0,4.4886,192529.01,NEAR OCEAN
-118.01,34.07,24.0,5684.0,1485.0,6626.0,1481.0,2.2559,116412.0,INLAND
-118.09,34.08,34.0,1513.0,384.0,986.0,336.0,2.6901,184984.0,<1H OCEAN
-118.46,34.18,35.0,1819.0,465.0,1336.0,419.0,3.4583,190997.0,<1H OCEAN
-117.95,33.97,33.0,1113.0,145.0,424.0,137.0,8.3474,472919.79,<1H OCEAN
-118.84,34.21,16.0,4975.0,949.0,2537.0,971.0,5.2361,253371.01,<1H OCEAN
-122.04,38.0,16.0,3077.0,733.0,1447.0,709.0,3.2484,185113.0,NEAR BAY
-122.2,38.04,31.0,3029.0,500.0,1236.0,487.0,5.6022,284678.02,NEAR BAY
-121.39,38.43,3.0,2696.0,384.0,990.0,316.0,5.4445,197892.0,INLAND
-119.68,36.81,13.0,2589.0,413.0,1356.0,435.0,5.0253,121973.0,INLAND
-121.24,37.95,36.0,361.0,63.0,169.0,62.0,3.7734,145877.0,INLAND
-118.23,33.98,25.0,986.0,310.0,1439.0,251.0,2.39,147513.0,<1H OCEAN
-119.74,36.71,17.0,5872.0,1250.0,5034.0,1224.0,2.1905,77719.0,INLAND
-117.7,34.05,24.0,2834.0,470.0,1815.0,471.0,4.7357,165900.0,INLAND
-122.42,37.66,28.0,3520.0,672.0,1746.0,602.0,4.9236,277282.01,NEAR OCEAN
-118.13,34.08,34.0,3848.0,991.0,2814.0,972.0,2.6716,189512.0,<1H OCEAN
-118.04,34.17,52.0,1885.0,401.0,764.0,373.0,4.0385,223876.99,INLAND
-119.77,36.83,16.0,2360.0,355.0,1034.0,359.0,5.0635,127197.0,INLAND
-122.07,37.35,35.0,1579.0,210.0,570.0,196.0,8.5888,491788.92,<1H OCEAN
-118.35,34.18,46.0,2711.0,491.0,1277.0,490.0,4.282,239836.0,<1H OCEAN
-117.15,32.91,10.0,2349.0,431.0,1598.0,435.0,4.8229,198032.0,<1H OCEAN
-120.33,38.26,13.0,2962.0,546.0,252.0,103.0,4.4063,163419.0,INLAND
-121.33,37.96,20.0,1727.0,386.0,730.0,342.0,2.5195,107374.0,INLAND
-118.17,34.04,46.0,705.0,167.0,655.0,149.0,3.5938,162461.0,<1H OCEAN
-116.99,34.89,24.0,2741.0,577.0,1551.0,522.0,3.474,101421.0,INLAND
